name,price,url,destination,duration,aHref,hrefTags,hotel,flight
Radisson Hotel Kathmandu,,https://www.travelsewa.com/storage/images/hotel-radisson-20191112142352.jpg,,,https://www.travelsewa.com/hotel/radisson-hotel-kathmandu|https://www.travelsewa.com/hotel/hotel-annapurna,,https://www.travelsewa.com/hotels?destination=Kathmandu,
Hotel Annapurna,,https://www.travelsewa.com/storage/images/hotel-annapurna-20191111125911.jpg,,,https://www.travelsewa.com/hotel/radisson-hotel-kathmandu|https://www.travelsewa.com/hotel/hotel-annapurna,,https://www.travelsewa.com/hotels?destination=Kathmandu,
Hotel Dwarika,,https://www.travelsewa.com/storage/images/dwarika-hotel-20200209092604.jpg,,,https://www.travelsewa.com/hotel/hotel-dwarika,,https://www.travelsewa.com/hotels?destination=Pokhara,
Everest Flight from Kathmandu,220,https://www.travelsewa.com/storage/images/everest-flight-20230805062545.jpg,,,https://www.travelsewa.com/flight/everest-flight|https://www.travelsewa.com/flight/everest-base-camp-helicopter-tour-from-kathmandu|https://www.travelsewa.com/flight/kathmandu-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-kathmandu-flight|https://www.travelsewa.com/flight/kathmandu-to-lukla-flight|https://www.travelsewa.com/flight/kathmandu-to-nepalgunj-flight|https://www.travelsewa.com/flight/kathmandu-to-bhairahawa-flight|https://www.travelsewa.com/flight/kathmandu-to-chitwan-flight|https://www.travelsewa.com/flight/jomsom-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-jomsom-flight,,,https://www.travelsewa.com/flights
Everest Base Camp Helicopter Tour Landin...,1100,https://www.travelsewa.com/storage/images/heli-20230805062906.jpg,,,https://www.travelsewa.com/flight/everest-flight|https://www.travelsewa.com/flight/everest-base-camp-helicopter-tour-from-kathmandu|https://www.travelsewa.com/flight/kathmandu-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-kathmandu-flight|https://www.travelsewa.com/flight/kathmandu-to-lukla-flight|https://www.travelsewa.com/flight/kathmandu-to-nepalgunj-flight|https://www.travelsewa.com/flight/kathmandu-to-bhairahawa-flight|https://www.travelsewa.com/flight/kathmandu-to-chitwan-flight|https://www.travelsewa.com/flight/jomsom-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-jomsom-flight,,,https://www.travelsewa.com/flights
Kathmandu to Pokhara Flight 25 minutes,106,https://www.travelsewa.com/storage/images/pokhara-flight-20230805065357.jpeg,,,https://www.travelsewa.com/flight/everest-flight|https://www.travelsewa.com/flight/everest-base-camp-helicopter-tour-from-kathmandu|https://www.travelsewa.com/flight/kathmandu-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-kathmandu-flight|https://www.travelsewa.com/flight/kathmandu-to-lukla-flight|https://www.travelsewa.com/flight/kathmandu-to-nepalgunj-flight|https://www.travelsewa.com/flight/kathmandu-to-bhairahawa-flight|https://www.travelsewa.com/flight/kathmandu-to-chitwan-flight|https://www.travelsewa.com/flight/jomsom-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-jomsom-flight,,,https://www.travelsewa.com/flights
Pokhara to Kathmandu Flight,106,https://www.travelsewa.com/storage/images/kathmandu-20230805065804.jpg,,,https://www.travelsewa.com/flight/everest-flight|https://www.travelsewa.com/flight/everest-base-camp-helicopter-tour-from-kathmandu|https://www.travelsewa.com/flight/kathmandu-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-kathmandu-flight|https://www.travelsewa.com/flight/kathmandu-to-lukla-flight|https://www.travelsewa.com/flight/kathmandu-to-nepalgunj-flight|https://www.travelsewa.com/flight/kathmandu-to-bhairahawa-flight|https://www.travelsewa.com/flight/kathmandu-to-chitwan-flight|https://www.travelsewa.com/flight/jomsom-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-jomsom-flight,,,https://www.travelsewa.com/flights
Kathmandu to Lukla Flight,217,https://www.travelsewa.com/storage/images/lukla-flight-20230805064847.jpg,,,https://www.travelsewa.com/flight/everest-flight|https://www.travelsewa.com/flight/everest-base-camp-helicopter-tour-from-kathmandu|https://www.travelsewa.com/flight/kathmandu-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-kathmandu-flight|https://www.travelsewa.com/flight/kathmandu-to-lukla-flight|https://www.travelsewa.com/flight/kathmandu-to-nepalgunj-flight|https://www.travelsewa.com/flight/kathmandu-to-bhairahawa-flight|https://www.travelsewa.com/flight/kathmandu-to-chitwan-flight|https://www.travelsewa.com/flight/jomsom-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-jomsom-flight,,,https://www.travelsewa.com/flights
Kathmandu to Nepalgunj Flight,202,https://www.travelsewa.com/storage/images/nepalgunj-20230805065136.jpg,,,https://www.travelsewa.com/flight/everest-flight|https://www.travelsewa.com/flight/everest-base-camp-helicopter-tour-from-kathmandu|https://www.travelsewa.com/flight/kathmandu-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-kathmandu-flight|https://www.travelsewa.com/flight/kathmandu-to-lukla-flight|https://www.travelsewa.com/flight/kathmandu-to-nepalgunj-flight|https://www.travelsewa.com/flight/kathmandu-to-bhairahawa-flight|https://www.travelsewa.com/flight/kathmandu-to-chitwan-flight|https://www.travelsewa.com/flight/jomsom-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-jomsom-flight,,,https://www.travelsewa.com/flights
Kathmandu to Bhairahawa Flight,90,https://www.travelsewa.com/storage/images/kathmandu-lumbini-20230805064139.jpg,,,https://www.travelsewa.com/flight/everest-flight|https://www.travelsewa.com/flight/everest-base-camp-helicopter-tour-from-kathmandu|https://www.travelsewa.com/flight/kathmandu-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-kathmandu-flight|https://www.travelsewa.com/flight/kathmandu-to-lukla-flight|https://www.travelsewa.com/flight/kathmandu-to-nepalgunj-flight|https://www.travelsewa.com/flight/kathmandu-to-bhairahawa-flight|https://www.travelsewa.com/flight/kathmandu-to-chitwan-flight|https://www.travelsewa.com/flight/jomsom-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-jomsom-flight,,,https://www.travelsewa.com/flights
Kathmandu to Chitwan Flight,133,https://www.travelsewa.com/storage/images/kathmandu-chitwan-20230805064436.jpg,,,https://www.travelsewa.com/flight/everest-flight|https://www.travelsewa.com/flight/everest-base-camp-helicopter-tour-from-kathmandu|https://www.travelsewa.com/flight/kathmandu-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-kathmandu-flight|https://www.travelsewa.com/flight/kathmandu-to-lukla-flight|https://www.travelsewa.com/flight/kathmandu-to-nepalgunj-flight|https://www.travelsewa.com/flight/kathmandu-to-bhairahawa-flight|https://www.travelsewa.com/flight/kathmandu-to-chitwan-flight|https://www.travelsewa.com/flight/jomsom-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-jomsom-flight,,,https://www.travelsewa.com/flights
Jomsom to Pokhara Flight,160,https://www.travelsewa.com/storage/images/jomsom-airport-20230805063231.jpg,,,https://www.travelsewa.com/flight/everest-flight|https://www.travelsewa.com/flight/everest-base-camp-helicopter-tour-from-kathmandu|https://www.travelsewa.com/flight/kathmandu-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-kathmandu-flight|https://www.travelsewa.com/flight/kathmandu-to-lukla-flight|https://www.travelsewa.com/flight/kathmandu-to-nepalgunj-flight|https://www.travelsewa.com/flight/kathmandu-to-bhairahawa-flight|https://www.travelsewa.com/flight/kathmandu-to-chitwan-flight|https://www.travelsewa.com/flight/jomsom-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-jomsom-flight,,,https://www.travelsewa.com/flights
Pokhara to Jomsom Flight,160,https://www.travelsewa.com/storage/images/jomsom-airport-20230805065449.jpg,,,https://www.travelsewa.com/flight/everest-flight|https://www.travelsewa.com/flight/everest-base-camp-helicopter-tour-from-kathmandu|https://www.travelsewa.com/flight/kathmandu-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-kathmandu-flight|https://www.travelsewa.com/flight/kathmandu-to-lukla-flight|https://www.travelsewa.com/flight/kathmandu-to-nepalgunj-flight|https://www.travelsewa.com/flight/kathmandu-to-bhairahawa-flight|https://www.travelsewa.com/flight/kathmandu-to-chitwan-flight|https://www.travelsewa.com/flight/jomsom-to-pokhara-flight|https://www.travelsewa.com/flight/pokhara-to-jomsom-flight,,,https://www.travelsewa.com/flights
